time,algae,rotifers,egg_ratio,eggs,dead_animals,external_medium,cycle_id
206.97,1.83,55.99,0.27,15.05,3.21,160.0,C6
207.87,4.96,96.52,0.38,36.52,2.01,160.0,C6
208.87,3.45,60.0,0.06,3.81,11.04,160.0,C6
210.05,4.53,30.5,0.11,3.21,7.83,160.0,C6
210.87,4.58,17.86,0.7,12.44,3.81,160.0,C6
212.2,4.9,28.09,0.78,21.87,2.01,160.0,C6
212.86,4.26,51.97,0.81,42.34,2.01,160.0,C6
213.89,3.76,100.13,0.31,31.1,9.03,160.0,C6
214.87,3.05,50.37,0.13,6.42,8.03,160.0,C6
215.86,2.22,32.91,0.23,7.42,9.03,160.0,C6
217.05,1.81,15.85,1.06,16.86,5.42,160.0,C6
217.87,3.07,28.9,0.81,23.28,3.61,160.0,C6
218.89,3.28,50.37,0.36,18.06,2.01,160.0,C6
220.23,5.67,63.41,0.21,13.04,1.61,160.0,C6
220.9,4.81,85.08,0.21,18.06,2.01,160.0,C6
221.84,4.39,55.99,0.15,8.23,1.61,160.0,C6
222.88,5.8,32.11,0.14,4.41,4.41,160.0,C6
224.0,3.87,24.28,0.05,1.2,3.41,160.0,C6
225.0,6.78,15.85,0.11,1.81,2.81,160.0,C6
226.04,1.62,34.92,0.36,12.64,2.21,160.0,C6
227.02,1.9,24.68,0.39,9.63,2.21,160.0,C6
228.01,1.34,39.93,0.36,14.25,1.4,160.0,C6
229.07,1.55,40.33,0.21,8.43,2.21,160.0,C6
229.99,1.43,19.47,0.2,3.81,1.61,160.0,C6
0.0,7.04,5.02,0.0,0.0,3.01,160.0,C7
0.97,6.43,1.2,0.33,0.4,0.2,160.0,C7
2.08,6.14,2.21,0.27,0.6,0.2,160.0,C7
2.97,6.03,7.83,1.03,8.03,0.8,160.0,C7
4.0,5.07,17.46,0.84,14.65,2.01,160.0,C7
4.96,1.54,36.92,0.73,26.89,8.43,160.0,C7
5.96,0.38,81.67,0.33,26.89,8.43,160.0,C7
7.03,0.12,43.75,0.02,1.0,11.84,160.0,C7
8.11,0.11,17.26,0.1,1.81,2.21,160.0,C7
9.22,0.24,13.85,0.3,4.21,2.21,160.0,C7
10.09,0.38,10.43,0.48,5.02,0.4,160.0,C7
10.9,0.49,17.06,1.0,17.06,1.61,160.0,C7
11.95,0.48,47.16,0.69,32.31,6.02,160.0,C7
12.92,0.23,75.05,0.21,15.65,1.61,160.0,C7
13.94,0.15,55.59,0.09,5.02,6.02,160.0,C7
14.93,0.22,12.44,0.16,2.01,5.82,160.0,C7
16.06,0.28,27.09,0.64,17.26,14.65,160.0,C7
17.14,0.26,16.66,0.53,8.83,3.21,160.0,C7
18.08,0.56,23.08,0.06,1.4,8.03,160.0,C7
18.89,0.83,32.51,0.81,26.49,3.61,160.0,C7
