loss,mae,val_loss,val_mae,learning_rate
0.006165447644889355,0.05218372121453285,0.004973993636667728,0.04866528883576393,0.0010000000474974513
0.005933856591582298,0.05159042775630951,0.0046823774464428425,0.04976409673690796,0.0010000000474974513
0.006022363435477018,0.05127320438623428,0.004372309893369675,0.046837497502565384,0.0010000000474974513
0.005693043116480112,0.04976240545511246,0.004766222555190325,0.048533059656620026,0.0010000000474974513
0.0057651265524327755,0.05109233781695366,0.004419732838869095,0.04687480255961418,0.0010000000474974513
0.005922722164541483,0.05038640648126602,0.004549025557935238,0.04752893000841141,0.0010000000474974513
0.005447160452604294,0.04928147420287132,0.004528757184743881,0.047622889280319214,0.0010000000474974513
0.005538003519177437,0.05003856495022774,0.004261230118572712,0.04672659561038017,0.0010000000474974513
0.005594226997345686,0.0494769848883152,0.004580462817102671,0.04694334417581558,0.0010000000474974513
0.005098411813378334,0.04803498089313507,0.0042527057230472565,0.046805500984191895,0.0010000000474974513
0.0055582644417881966,0.04909425228834152,0.0043958029709756374,0.045960284769535065,0.0010000000474974513
0.005263504572212696,0.04882119596004486,0.00443235132843256,0.046695590019226074,0.0010000000474974513
0.005328556522727013,0.04845406115055084,0.004164337646216154,0.045046694576740265,0.0010000000474974513
0.005516626872122288,0.048730093985795975,0.004289348144084215,0.04593822360038757,0.0010000000474974513
0.004986435174942017,0.047136787325143814,0.004150422289967537,0.04540368914604187,0.0010000000474974513
0.005146345589309931,0.04701133444905281,0.004129690583795309,0.04528903216123581,0.0010000000474974513
0.00491001270711422,0.046702850610017776,0.003885864280164242,0.04398374259471893,0.0010000000474974513
0.005149909760802984,0.04718289524316788,0.004342285916209221,0.04553595557808876,0.0010000000474974513
0.004832955542951822,0.04595867544412613,0.003996965009719133,0.04561448097229004,0.0010000000474974513
0.005002385471016169,0.046863749623298645,0.0043714335188269615,0.04688555374741554,0.0010000000474974513
0.005436316132545471,0.04735589027404785,0.004132523201406002,0.043872516602277756,0.0010000000474974513
0.004819378722459078,0.04654645919799805,0.0041771200485527515,0.04519409313797951,0.0010000000474974513
0.004868766292929649,0.046109866350889206,0.0038834845181554556,0.044170405715703964,0.0010000000474974513
0.004710549488663673,0.04524308815598488,0.004244880750775337,0.045029204338788986,0.0010000000474974513
0.004637184087187052,0.04597335308790207,0.00369283021427691,0.042624764144420624,0.0005000000237487257
0.004612788558006287,0.04404236748814583,0.0037678370717912912,0.04237000271677971,0.0005000000237487257
0.004741460084915161,0.044571563601493835,0.003650133963674307,0.04328004643321037,0.0005000000237487257
0.0046854582615196705,0.04462575539946556,0.0037020118907094,0.042118627578020096,0.0005000000237487257
0.0047274320386350155,0.045055340975522995,0.003702759277075529,0.04258717596530914,0.0005000000237487257
0.004380001686513424,0.043573781847953796,0.003756064921617508,0.04190118610858917,0.0005000000237487257
0.004383856896311045,0.04346184432506561,0.0036310693249106407,0.042738884687423706,0.0005000000237487257
0.004368405323475599,0.043901171535253525,0.003686030860990286,0.0417436845600605,0.0005000000237487257
0.004290011245757341,0.04271014779806137,0.0036312686279416084,0.04218859598040581,0.0002500000118743628
0.004356501158326864,0.04349323734641075,0.0036644069477915764,0.042285073548555374,0.0002500000118743628
0.00412412965670228,0.04291670024394989,0.003662403440102935,0.04208402335643768,0.0002500000118743628
0.004295168910175562,0.04257543757557869,0.003626925405114889,0.04166702553629875,0.0002500000118743628
0.004304865375161171,0.042791932821273804,0.003625960322096944,0.042201533913612366,0.0002500000118743628
0.0043082814663648605,0.043026454746723175,0.0036846078000962734,0.04192132502794266,0.0002500000118743628
0.004310947377234697,0.04343990981578827,0.003675250569358468,0.04187728092074394,0.0002500000118743628
0.004166632890701294,0.042653344571590424,0.0036820503883063793,0.04179411381483078,0.0001250000059371814
0.004135928116738796,0.042354390025138855,0.0037010726518929005,0.04197057709097862,0.0001250000059371814
0.0043256571516394615,0.04308219626545906,0.0036882488057017326,0.042001284658908844,0.0001250000059371814
0.004161409102380276,0.04258972778916359,0.0037235096096992493,0.04170918092131615,0.0001250000059371814
0.004365019965916872,0.04328411445021629,0.0037095677107572556,0.04200390353798866,0.0001250000059371814
0.004147323314100504,0.04212353378534317,0.003694879822432995,0.041765980422496796,0.0001250000059371814
0.004251938778907061,0.04294265806674957,0.0036819828674197197,0.042084645479917526,0.0001250000059371814
0.004182993900030851,0.04273412004113197,0.003690393641591072,0.04185065999627113,6.25000029685907e-05
0.004070697817951441,0.042136065661907196,0.003709744429215789,0.04183433949947357,6.25000029685907e-05
0.004090712405741215,0.042184874415397644,0.0037024621851742268,0.04197822883725166,6.25000029685907e-05
0.004232665523886681,0.04299798235297203,0.0037060000468045473,0.041912857443094254,6.25000029685907e-05
0.0042333826422691345,0.04279530420899391,0.003694497747346759,0.04178651049733162,6.25000029685907e-05
0.004188464488834143,0.04268049821257591,0.0036879752296954393,0.04175012931227684,6.25000029685907e-05
